id,kda_ratio
3_53,2564.074561
4_17,3922.332772
9_51,3026.358869
10_54,4185.366884
15_74,4141.690658
19_38,3087.831154
21_93,4191.874132
31_80,3821.573354
34_62,3319.61269
35_74,4121.81827
46_14,3104.841178
51_106,5259.206964
64_7,3259.431091
66_56,4508.316471
72_26,2140.092524
73_17,4255.176181
74_86,2256.348605
77_14,2638.965045
83_86,2494.748315
85_13,3680.651814
89_114,2930.745683
100_107,3434.655175
101_26,2204.107862
102_86,2449.124504
103_97,3679.883409
105_109,3694.025585
107_104,2590.818178
110_55,3332.124462
111_46,4516.644042
112_70,4151.345768
115_99,2722.313754
117_86,2929.035785
119_34,4456.645678
120_97,3006.127523
121_13,4694.730647
123_59,2784.389495
124_46,4684.219311
125_1,3459.409677
127_62,2639.416564
132_13,4122.317287
134_23,3574.970301
135_69,3570.880409
140_95,3360.56216
141_69,3297.978433
142_86,2778.118329
156_73,3355.965744
162_74,3923.077727
165_11,3114.753391
167_17,3728.662657
169_93,3784.391714
170_3,3216.577328
171_4,3674.60882
173_97,2603.593562
175_7,3045.700774
177_43,3326.586198
179_17,3466.28804
182_69,3112.100535
185_93,3714.068463
188_13,3754.592408
191_17,4887.562283
192_8,3822.5564
193_39,5077.104919
195_74,3754.245552
201_26,2306.222884
210_81,3438.800605
215_25,2936.15848
224_113,4344.419903
227_12,3974.307323
230_77,3471.018685
234_10,4130.147727
236_7,3103.761818
240_74,4090.758423
242_74,3913.775783
244_19,3940.036722
245_54,4058.432339
251_47,3250.421631
252_74,3498.638506
253_17,3752.162783
255_34,3492.100174
265_9,3820.017128
266_74,3835.415671
268_41,4451.455886
269_97,3180.262779
271_86,2991.948036
272_74,3982.547259
275_27,2067.800583
283_63,4423.299813
284_41,4079.666858
286_9,3566.442533
287_53,2848.68184
293_23,4015.228792
294_1,3442.522541
308_26,2157.854233
311_109,4289.021841
313_106,4959.888722
316_88,3164.535231
319_42,4680.475719
321_67,4029.257066
322_97,3025.637833
325_17,4050.475963
330_25,3143.851617
331_62,2954.187279
334_35,3985.951547
339_28,2989.007594
342_78,3720.30212
347_106,5043.586543
350_86,2611.168033
351_51,3770.2537
353_86,2419.301578
355_36,4270.710386
356_98,2841.995973
357_57,2447.740816
360_114,3658.062057
363_34,4295.596013
366_7,2685.986383
369_11,3258.756173
374_107,3525.895442
379_46,3717.612941
387_17,3885.431564
391_56,3328.824053
392_27,2202.435863
393_100,3003.614014
397_107,2594.062872
398_46,3650.043893
399_14,2394.786693
401_8,4331.149734
407_74,4967.771531
411_34,3552.352585
412_2,2647.549336
417_73,3548.093268
422_120,3527.723556
423_25,3197.57902
425_86,2865.493441
426_106,4100.284125
430_46,3373.018232
431_86,2550.164174
435_60,3842.40252
436_59,2532.280693
438_86,2397.996686
440_75,2648.250983
445_1,4202.494753
447_86,2576.827916
448_93,3640.276068
449_25,2749.639113
453_86,3058.648386
454_114,2743.248554
461_39,3909.079972
463_80,3459.26514
464_46,3463.786849
465_76,3518.403502
471_109,3974.153894
472_10,4734.693971
475_19,3309.34337
480_75,2782.605707
485_95,4513.372658
486_41,17280.66456
489_9,4325.143763
493_8,3607.345576
494_87,2956.927168
495_7,3365.654183
496_35,4206.212666
497_11,4245.173126
501_65,4714.942012
502_71,3434.613447
507_86,2845.821497
508_6,3041.795969
511_82,3272.286761
521_14,2462.933825
523_23,3392.844263
525_10,4227.376294
527_76,3498.271998
528_98,3297.464742
532_18,3534.388623
533_82,2884.750635
536_92,4212.624492
539_69,3469.314535
542_34,4544.367584
549_1,3967.96069
553_9,3383.903592
555_11,3354.016384
560_59,3054.890515
561_107,3219.164703
566_8,3704.051283
579_95,3671.287052
586_88,3250.246239
588_14,2974.549058
593_111,2827.696714
595_98,3053.9805
